1,อิฐมอญ 2 รู (เล็ก),"ขนาด 3 x 6 x 14 ซม.,น้ำหนัก 0.3 กก./ก้อน,ใช้ก่อ 140 ก้อน/ตร.ม.,ชักร่อง 1.5 ซม.", 0.90 ,png,1
2,อิฐมอญ 2 รู (ใหญ่),"ขนาด 5 x 6 x 14.5 ซม.,น้ำหนัก 0.55 กก./ก้อน,ใช้ 100 ก้อน/ตร.ม.,ชักร่อง  1.5 ซม.", 1.00 ,png,1
3,อิฐมอญ 2 รู (จัมโบ้),"ขนาด  6 x 6 x 15 ซม.,น้ำหนัก 0.7 กก./ก้อน,ใช้ก่อ 80 ก้อน/ตร.ม.,ชักร่อง 1.5 ซม.", 1.20 ,png,1
4,อิฐมอญ 4 รู,"ขนาด 5 x 6 x 14.5 ซม.,น้ำหนัก 0.55 กก./ก้อน,ใช้ก่อ 100 ก้อน/ตร.ม.,ชักร่อง 1.5 ซม.", 1.00 ,png,2
5,อิฐมอญ 4 รู(ใหญ่),"ขนาด  6 x 6 x 15 ซม.,น้ำหนัก 0.70 กก./ก้อน,ใช้ก่อ 80 ก้อน/ตร.ม.,ชักร่อง 1.5 ซม.", 1.20 ,png,2
6,อิฐมอญ 4 รู(จัมโบ้),"ขนาด 6 x 7 x 17.5 ซม.,น้ำหนัก 1 กก./ก้อน,ใช้ 62 ก้อน/ตร.ม.,เผาฟืน คุณภาพสูง", 1.50 ,png,2
7,อิฐมอญ 3 รู,"ขนาด 6 x 10 x 20 ซม.,น้ำหนัก 1.6 กก./ก้อน,ใช้ก่อผนัง 40 ก้อน/ตร.ม.,ชักร่อง 1.5 ซม.", 2.50 ,png,5
8,อิฐ 4 ช่อง,"ขนาด 6.5 x 11 x 25  ซม.,น้ำหนัก 1.8 กก./ก้อน,ก่อแนวตั้ง 30 ก้อน/ตร.ม.,ก่อแนวนอน 48 ก้อน/ตร.ม.", 7.00 ,png,6
9,อิฐมอญ 8 รู,"ขนาด 6 x 12 x 24 ซม.,น้ำหนัก 2.2 กก./ก้อน,ใช้ก่อ 30 ก้อน/ตร.ม.,เผาฟืน คุณภาพสูง", 4.50 ,png,7
10,อิฐประสาน 2 ปุ่ม,"ขนาด 10 x 12.5 x 25 ซม.,น้ำหนัก 4.8 กิโลกรัม/ก้อน,ใช้ก่อผนัง 40 ก้อน/ตร.ม.,ส่งขั้นต่ำ 500 ก้อน", 15.00 ,png,8
11,อิฐประสาน ลายหินสกัด,"ขนาด 10 x 12 x 24 ซม.,น้ำหนัก 4.8 กิโลกรัม/ก้อน,ใช้ 42 ก้อน/ตร.ม.,ส่งขั้นต่ำ 500 ก้อน", 18.00 ,png,9
12,อิฐประสาน ลายเปลือกไม้,"ขนาด 10 x 12 x 24 ซม. ,น้ำหนัก 4.8 กิโลกรัม/ก้อน,ใช้ 42 ก้อน/ตร.ม. , ส่งขั้นต่ำ 500 ก้อน", 18.00 ,png,9
13,อิฐประสาน 3 ปุ่ม สีเทา,"ขนาด 10 x 10 x 30 ซม.,น้ำหนัก 5.5 กิโลกรัม/ก้อน,ใช้ 34 ก้อน/ตร.ม", 16.00 ,png,10
14,อิฐประสาน 2 ปุ่มใหญ่ สีเทา,"ขนาด 10 x 12.5 x 25 ซม.,ใช้ 40 ก้อน/ตร.ม.", 16.00 ,png,11
15,อิฐประสาน 2 ปุ่มเล็ก สีเทา,"ขนาด 10 x 10 x 20 ซม.,ใช้ 50 ก้อน/ตร.ม.", 12.00 ,png,11
